id	name	pid	ordid
1	新闻	0	0
2	时政	0	0
3	党建	0	0
4	金融	0	0
5	社会	0	0
6	法制	0	0
7	经济	0	0
8	证券	7	0
9	理财	7	0
10	商会	0	0
11	投资	7	0
12	资讯	0	0
13	民生	0	0
14	家居	13	0
15	健康	13	0
16	民生	13	0
17	医疗	13	0
18	文化	0	0
19	文化	18	0
20	书画	18	0
21	娱乐	18	0
22	艺术	18	0
23	体育	0	0
24	公示	18	0
26	科技	0	0
27	教育	0	0
28	房产	0	0
29	汽车	0	0
30	旅游	0	0
32	视频	0	0
33	美图	0	0
34	首页推荐资料	0	0
35	三楚人物	34	0
39	爆料台	34	0
40	观楚台	34	0
41	美食	0	0
42	荆楚各地	34	0
43	武汉网站	34	0
44	武昌起义	43	0
45	汉口文化	43	0
46	汉阳文化	43	0
47	武汉网视	43	0
48	专题资讯	43	0
49	房产资讯	43	0
50	美容保养	43	0
51	汽车保险	43	0
52	驾校考试	43	0
53	优惠活动	43	0
54	吃喝玩乐	43	0
55	美食特产	43	0
56	武汉风情	43	0
58	黄石网站	34	0
59	专题资讯	34	0
60	黄石文化	34	0
61	青铜故里	34	0
62	黄石网视	34	0
63	工业文化	34	0
64	房产资讯	34	0
65	美容保养	34	0
66	汽车保险	34	0
67	驾校考试	34	0
68	优惠活动	34	0
69	吃喝玩乐	58	0
70	美食特产	58	0
71	黄石风情	58	0
73	十堰网站	34	0
74	专题资讯	34	0
75	十堰文化	34	0
76	鄂西文化	34	0
77	汽车之城	34	0
78	十堰网视	34	0
79	房产资讯	34	0
80	美容保养	34	0
81	汽车/保险	34	0
82	驾校考试	34	0
83	优惠活动	34	0
84	吃喝玩乐	73	0
85	美食特产	73	0
86	十堰风情	73	0
88	荆州网站	34	0
89	专题资讯	88	0
90	荆州文化	88	0
91	荆楚文化	88	0
92	三国文化	88	0
93	荆州网视	88	0
94	房产资讯	88	0
95	美容保养	88	0
96	汽车/保险	88	0
97	驾校考试	88	0
98	吃喝玩乐	88	0
100	荆州风情	88	0
102	宜昌网站	34	0
103	专题资讯	102	0
104	宜昌文化	102	0
105	水电之都	102	0
106	钢琴之城	102	0
107	宜昌网视	102	0
108	房产资讯	102	0
109	美容保养	102	0
110	汽车/保险	102	0
111	驾校考试	102	0
112	优惠活动	102	0
113	吃喝玩乐	102	0
114	美食特产	88	0
115	宜昌风情	102	0
117	襄阳网站	34	0
118	专题资讯	117	0
119	襄阳文化	117	0
120	汉水文化	117	0
121	襄阳网视	117	0
122	优惠活动	117	0
123	房产资讯	117	0
124	美容保养	117	0
125	汽车/保险	117	0
126	驾校考试	117	0
127	吃喝玩乐	117	0
128	美食特产	117	0
129	襄阳风情	117	0
132	最新楼盘	43	0
133	家居装修	43	0
134	租房售房	43	0
135	武汉文化	43	0
136	武汉房产	43	0
139	美在武汉	43	0
142	黄石文化	58	0
143	黄石汽车	58	0
145	最新楼盘	58	0
146	家居装修	58	0
147	租房售房	58	0
149	美在黄石	58	0
152	十堰文化	73	0
155	最新楼盘	73	0
156	家居装修	73	0
157	租房售房	73	0
159	美在十堰	73	0
162	荆州文化	88	0
163	荆州汽车	88	0
164	汽车资讯	88	0
165	荆州房产	88	0
166	最新楼盘	88	0
167	家居装修	88	0
168	租房售房	88	0
169	荆州旅游美食	88	0
170	美在荆州	88	0
172	宜昌文化	102	0
175	最新楼盘	102	0
176	家居装修	102	0
177	租房售房	102	0
178	宜昌旅游美食	102	0
179	美食特产	102	0
180	美在宜昌	102	0
183	襄阳文化	117	0
186	最新楼盘	117	0
187	家居装修	117	0
188	租房售房	117	0
190	美在襄阳	117	0
194	鄂州网站	34	0
195	荆门网站	34	0
196	黄冈网站	34	0
197	孝感网站	34	0
198	咸宁网站	34	0
199	随州网站	34	0
200	恩施网站	34	0
201	仙桃网站	34	0
202	潜江网站	34	0
203	天门网站	34	0
204	神农架林区	34	0
205	专题资讯	194	0
206	鄂州文化	194	0
207	鄂州汽车	194	0
208	鄂州房产	194	0
209	鄂州旅游美食	194	0
210	美在鄂州	194	0
211	鄂州文化	194	0
212	鄂州历史	194	0
213	鱼米之乡	194	0
214	鄂州网视	194	0
215	美容保养	194	0
216	驾校考试	194	0
217	汽车/保险	194	0
218	优惠活动	194	0
219	房产资讯	194	0
220	最新楼盘	194	0
221	居家装修	194	0
222	租房售房	194	0
223	吃喝玩乐	194	0
224	美食特产	194	0
225	鄂州风情	194	0
230	专题资讯	195	0
231	荆门文化	195	0
233	荆门房产	195	0
235	美在荆门	195	0
236	荆门文化	195	0
237	荆楚文化	195	0
238	文化传统	195	0
239	荆门网视	195	0
240	美容保养	195	0
241	驾校考试	195	0
242	汽车/保险	195	0
243	优惠活动	195	0
244	房产资讯	195	0
245	最新楼盘	195	0
246	家居装修	195	0
247	租房售房	195	0
248	吃喝玩乐	195	0
249	美食特产	195	0
250	荆门风情	195	0
255	专题资讯	196	0
256	黄冈文化	196	0
257	黄冈汽车	196	0
259	旅游美食	196	0
260	美在黄冈	196	0
261	黄冈文化	196	0
262	民间艺术	196	0
263	文化传统	196	0
264	黄冈网视	196	0
265	美容保养	196	0
266	驾校考试	196	0
267	汽车/保险	196	0
268	优惠活动	196	0
269	房产资讯	196	0
270	最新楼盘	196	0
271	家居装修	196	0
272	租房售房	196	0
273	吃喝玩乐	196	0
274	美食特产	196	0
275	黄冈风情	196	0
279	专题资讯	197	0
280	孝感文化	197	0
282	孝感房产	197	0
284	美在孝感	197	0
285	孝感文化	197	0
286	民间艺术	197	0
287	文化传统	197	0
288	孝感网视	197	0
289	美容保养	197	0
290	驾校考试	197	0
291	汽车/保险	197	0
292	优惠活动	197	0
293	房产资讯	197	0
294	最新楼盘	197	0
295	家居装修	197	0
296	租房售房	197	0
297	吃喝玩乐	197	0
298	美食特产	197	0
299	孝感风情	197	0
303	专题资讯	198	0
304	咸宁文化	198	0
305	咸宁汽车	198	0
308	美在咸宁	198	0
309	咸宁文化	198	0
310	民间艺术	198	0
311	文化传统	198	0
312	咸宁网视	198	0
313	美容保养	198	0
314	驾校考试	198	0
315	汽车/保险	198	0
316	优惠活动	198	0
317	房产资讯	198	0
318	最新楼盘	198	0
319	家居装修	198	0
320	租房售房	198	0
321	吃喝玩乐	198	0
322	美食特产	198	0
323	咸宁风情	198	0
327	专题资讯	199	0
328	随州文化	199	0
329	随州汽车	199	0
330	随州房产	199	0
331	旅游美食	199	0
332	美在随州	199	0
333	随州文化	199	0
334	民间艺术	199	0
335	文化传统	199	0
336	随州网视	199	0
337	美容保养	199	0
338	驾校考试	199	0
339	汽车/保险	199	0
340	优惠活动	199	0
341	房产资讯	199	0
342	最新楼盘	199	0
343	家居装修	199	0
344	租房售房	199	0
345	美食特产	199	0
346	吃喝玩乐	199	0
347	随州风情	199	0
351	专题资讯	200	0
352	恩施文化	200	0
356	美在恩施	200	0
357	恩施文化	200	0
358	民间艺术	200	0
359	文化传统	200	0
360	恩施网视	200	0
361	美容保养	200	0
362	驾校考试	200	0
363	汽车/保险	200	0
364	优惠活动	200	0
365	房产资讯	200	0
366	最新楼盘	200	0
367	家居装修	200	0
368	租房售房	200	0
369	吃喝玩乐	200	0
370	美食特产	200	0
371	恩施风情	200	0
375	专题资讯	201	0
376	仙桃文化	201	0
378	仙桃房产	201	0
